-122.46,37.74,52.0,2053.0,281.0,791.0,287.0,10.959;500001.0
-121.86,37.37,15.0,8162.0,2124.0,8793.0,2086.0,3.3306;210300.0
-117.77,33.6,33.0,247.0,80.0,167.0,70.0,3.7059;237500.0
-119.32,36.21,25.0,2360.0,460.0,1424.0,436.0,2.3152;63100.0
-122.18,37.79,39.0,617.0,95.0,236.0,106.0,5.2578;253000.0
-121.28,38.6,17.0,1671.0,378.0,848.0,351.0,3.1194;112500.0
-118.01,35.12,15.0,1926.0,361.0,917.0,316.0,3.3889;68500.0
-120.43,34.69,33.0,2054.0,373.0,1067.0,358.0,3.6023;128300.0
-118.11,33.82,37.0,1756.0,345.0,836.0,335.0,4.375;218200.0
-118.1,33.94,34.0,1947.0,284.0,841.0,277.0,6.1814;453600.0
-118.44,34.02,32.0,2242.0,490.0,921.0,461.0,4.0429;500001.0
-123.34,39.5,15.0,2342.0,535.0,1064.0,433.0,1.8967;96600.0
-117.82,33.85,18.0,1810.0,305.0,1189.0,326.0,5.2227;213500.0
-118.35,34.05,33.0,2880.0,836.0,1416.0,736.0,2.6781;328800.0
-118.19,33.93,42.0,1829.0,391.0,1614.0,377.0,3.1912;146400.0
-117.23,33.91,9.0,11654.0,2100.0,7596.0,2127.0,4.0473;127200.0
-122.31,38.32,33.0,2463.0,421.0,1235.0,465.0,3.7045;161500.0
-118.1,33.81,36.0,856.0,146.0,451.0,164.0,5.1993;246000.0
-117.21,33.82,2.0,4198.0,805.0,1943.0,673.0,3.9052;122100.0
-122.3,38.29,40.0,1739.0,318.0,744.0,312.0,2.6518;156100.0
-118.96,35.36,35.0,2285.0,497.0,1738.0,480.0,2.4848;54000.0
-121.84,37.24,24.0,7991.0,1286.0,4017.0,1213.0,5.4741;238800.0
-117.64,33.51,15.0,1743.0,254.0,943.0,274.0,5.9339;286000.0
-118.3,34.0,40.0,1131.0,281.0,859.0,230.0,1.1806;134600.0
-118.1,34.01,29.0,2077.0,564.0,2087.0,543.0,2.66;189200.0
-121.9,37.28,34.0,4613.0,749.0,2050.0,725.0,5.3922;302900.0
-118.04,33.94,37.0,1328.0,273.0,1115.0,275.0,4.2051;164400.0
-122.17,37.78,42.0,1524.0,260.0,651.0,267.0,3.6875;157300.0
-118.4,33.87,45.0,2181.0,505.0,965.0,471.0,5.3816;500001.0
-121.83,38.43,24.0,1307.0,314.0,917.0,291.0,2.2244;98100.0
-120.97,37.66,21.0,2760.0,632.0,1260.0,576.0,2.0227;179800.0
-115.6,32.87,3.0,1629.0,317.0,1005.0,312.0,4.1293;83200.0
-121.17,38.71,15.0,3084.0,557.0,1040.0,562.0,2.5183;293300.0
-117.97,33.88,11.0,1454.0,247.0,635.0,236.0,6.2427;218500.0
-117.66,35.62,11.0,5897.0,1138.0,2728.0,1072.0,4.15;85700.0
